N,A,pre_label
597,-4.258794315,0
598,-4.258794315,0
599,-4.258794315,0
600,-3.835031167,0
601,-4.258794315,0
602,-3.835031167,0
603,-3.411268019,0
604,-4.258794315,0
605,-4.258794315,0
606,-3.835031167,0
607,-3.411268019,0
608,-4.258794315,0
609,-3.835031167,0
610,-3.835031167,0
611,-3.411268019,0
612,-4.258794315,0
613,-3.835031167,0
614,-4.258794315,0
615,-4.258794315,0
616,-4.682557463,0
617,-3.411268019,0
618,-4.258794315,0
619,-3.835031167,0
620,-3.411268019,0
621,-4.258794315,0
622,-4.258794315,0
623,-3.411268019,0
624,-4.258794315,0
625,-4.258794315,0
626,-3.835031167,0
627,-3.835031167,0
628,-3.411268019,0
629,-3.835031167,0
630,-3.835031167,0
631,-4.258794315,0
632,-3.835031167,0
633,-4.258794315,0
634,-3.411268019,0
635,-3.411268019,0
636,-3.835031167,0
637,-3.411268019,0
638,-3.835031167,0
639,-3.835031167,0
640,-4.258794315,0
641,-3.835031167,0
642,-3.835031167,0
643,-4.258794315,0
644,-3.411268019,0
645,-3.835031167,0
646,-3.835031167,0
647,-4.682557463,0
648,-3.835031167,0
649,-3.835031167,0
650,-4.258794315,0
651,-4.258794315,0
652,-3.411268019,0
653,-3.835031167,0
654,-4.682557463,0
655,-3.835031167,0
656,-3.411268019,0
657,-3.835031167,0
658,-3.835031167,0
659,-3.411268019,0
660,-3.411268019,0
661,-3.835031167,0
662,-3.411268019,0
663,-3.411268019,0
664,-3.411268019,0
665,-4.258794315,0
666,-3.411268019,0
667,-3.835031167,0
668,-3.835031167,0
669,-3.835031167,0
670,-4.258794315,0
671,-4.258794315,0
672,-3.411268019,0
673,-4.258794315,0
674,-4.258794315,0
675,-3.835031167,0
676,-3.411268019,0
677,-4.258794315,0
678,-4.258794315,0
679,-3.411268019,0
680,-4.682557463,0
681,-3.411268019,0
682,-3.835031167,0
683,-3.411268019,0
684,-4.258794315,0
685,-3.411268019,0
686,-3.835031167,0
687,-4.682557463,0
688,-3.835031167,0
689,-3.835031167,0
690,-3.835031167,0
691,-3.835031167,0
692,-3.835031167,0
693,-3.835031167,0
694,-3.835031167,0
695,-4.258794315,0
696,-3.411268019,0
697,-3.835031167,0
698,-3.411268019,0
699,-3.835031167,0
700,-3.835031167,0
701,-3.411268019,0
702,-3.835031167,0
703,-3.411268019,0
704,-3.411268019,0
705,-3.411268019,0
706,-3.411268019,0
707,-4.682557463,0
708,-3.411268019,0
709,-3.411268019,0
710,-3.835031167,0
711,-3.411268019,0
712,-3.411268019,0
713,-4.258794315,0
714,-3.835031167,0
715,-3.835031167,0
716,-3.835031167,0
717,-3.411268019,0
718,-4.258794315,0
719,-3.411268019,0
720,-3.835031167,0
721,-4.258794315,0
722,-3.835031167,0
723,-4.258794315,0
724,-3.411268019,0
725,-3.411268019,0
726,-3.411268019,0
727,-3.411268019,0
728,-3.835031167,0
729,-3.835031167,0
730,-3.835031167,0
731,-3.411268019,0
732,-3.835031167,0
733,-3.411268019,0
734,-3.835031167,0
735,-3.835031167,0
736,-3.835031167,0
737,-3.835031167,0
738,-3.835031167,0
739,-4.682557463,0
740,-3.411268019,0
741,-3.835031167,0
742,-3.835031167,0
743,-3.835031167,0
744,-4.258794315,0
745,-3.411268019,0
746,-3.411268019,0
747,-4.258794315,0
748,-4.258794315,0
749,-3.835031167,0
750,-4.258794315,0
751,-3.835031167,0
752,-3.835031167,0
753,-4.258794315,0
754,-3.411268019,0
755,-3.835031167,0
756,-3.411268019,0
757,-3.835031167,0
758,-3.411268019,0
759,-3.835031167,0
760,-3.835031167,0
761,-4.258794315,0
762,-3.835031167,0
763,-3.835031167,0
764,-3.411268019,0
765,-3.411268019,0
766,-3.411268019,0
767,-3.835031167,0
768,-4.258794315,0
769,-4.258794315,0
770,-3.411268019,0
771,-3.411268019,0
772,-3.411268019,0
773,-3.411268019,0
774,-4.682557463,0
775,-3.835031167,0
776,-3.835031167,0
777,-3.835031167,0
778,-3.411268019,0
779,-3.835031167,0
780,-3.835031167,0
781,-4.258794315,0
782,-3.411268019,0
783,-4.258794315,0
784,-3.835031167,0
785,-3.411268019,0
786,-3.835031167,0
787,-3.835031167,0
788,-3.411268019,0
789,-4.258794315,0
790,-3.411268019,0
791,-3.411268019,0
792,-4.258794315,0
793,-3.411268019,0
794,-3.411268019,0
795,-3.835031167,0
